learning_rate,weight_decay,dropout,momentum,accuracy,precision,sensitivity,specificity,MCC,AUC,Auc
0.01,0.001,0.8,0.9,0.756024096,0.775147929,0.752873563,0.759493671,0.511855485,0.756183617,0.854794122
0.01,0.001,0.8,0.9,0.753012048,0.74025974,0.730769231,0.772727273,0.503900432,0.751748252,0.846918706
0.01,0.01,0.2,0.1,0.813253012,0.866197183,0.740963855,0.885542169,0.633158391,0.813253012,0.871389171
0.01,0.01,0.2,0.1,0.725903614,0.782312925,0.66091954,0.797468354,0.460884153,0.729193947,0.825003637
0.01,0.01,0.2,0.1,0.774096386,0.806666667,0.724550898,0.824242424,0.551350411,0.774396661,0.847250953
0.01,0.01,0.2,0.1,0.746987952,0.75862069,0.75862069,0.734177215,0.492797905,0.746398952,0.851374945
0.01,0.01,0.2,0.1,0.75,0.766423358,0.673076923,0.818181818,0.498025219,0.745629371,0.838942308
0.01,0.01,0.2,0.5,0.762048193,0.732620321,0.825301205,0.698795181,0.528341163,0.762048193,0.872078676
0.01,0.01,0.2,0.5,0.737951807,0.78807947,0.683908046,0.797468354,0.482792152,0.7406882,0.821766332
0.01,0.01,0.2,0.5,0.765060241,0.760233918,0.778443114,0.751515152,0.530189209,0.764979133,0.850626021
0.01,0.01,0.2,0.5,0.746987952,0.777777778,0.724137931,0.772151899,0.495857145,0.748144915,0.843590863
0.01,0.01,0.2,0.5,0.753012048,0.717647059,0.782051282,0.727272727,0.508546669,0.754662005,0.838650932
